batch 1  MS-SSIM: 0.94807	0.97796	0.98644	0.99073	0.99334	0.99495	0.99598	0.99665	0.99711	0.99749	0.99776	0.99800	0.99820	0.99833	0.99842	0.99848
batch 2  MS-SSIM: 0.94877	0.97962	0.98795	0.99195	0.99416	0.99552	0.99639	0.99698	0.99740	0.99773	0.99799	0.99820	0.99838	0.99850	0.99859	0.99865
batch 3  MS-SSIM: 0.93653	0.97309	0.98387	0.98896	0.99185	0.99373	0.99491	0.99572	0.99632	0.99679	0.99714	0.99746	0.99774	0.99794	0.99808	0.99818
batch 4  MS-SSIM: 0.94522	0.97760	0.98672	0.99096	0.99334	0.99488	0.99585	0.99651	0.99699	0.99738	0.99767	0.99793	0.99816	0.99832	0.99843	0.99852
batch 5  MS-SSIM: 0.93442	0.97045	0.98140	0.98669	0.98980	0.99188	0.99325	0.99423	0.99492	0.99552	0.99597	0.99638	0.99675	0.99701	0.99720	0.99733
batch 6  MS-SSIM: 0.94109	0.97414	0.98383	0.98849	0.99119	0.99299	0.99418	0.99503	0.99562	0.99614	0.99653	0.99688	0.99720	0.99742	0.99758	0.99770
batch 7  MS-SSIM: 0.94211	0.97468	0.98414	0.98870	0.99138	0.99315	0.99433	0.99517	0.99575	0.99625	0.99663	0.99697	0.99728	0.99749	0.99765	0.99776
batch 8  MS-SSIM: 0.93835	0.97286	0.98304	0.98797	0.99085	0.99276	0.99402	0.99492	0.99554	0.99608	0.99648	0.99685	0.99718	0.99740	0.99757	0.99769
batch 9  MS-SSIM: 0.94011	0.97398	0.98388	0.98862	0.99137	0.99318	0.99436	0.99521	0.99581	0.99631	0.99669	0.99704	0.99734	0.99755	0.99771	0.99783
batch 10  MS-SSIM: 0.94295	0.97562	0.98499	0.98944	0.99200	0.99369	0.99479	0.99557	0.99613	0.99659	0.99695	0.99727	0.99755	0.99775	0.99789	0.99800
batch 11  MS-SSIM: 0.94033	0.97430	0.98417	0.98890	0.99161	0.99340	0.99456	0.99538	0.99596	0.99645	0.99683	0.99716	0.99746	0.99767	0.99782	0.99793
batch 12  MS-SSIM: 0.93793	0.97338	0.98372	0.98862	0.99141	0.99323	0.99442	0.99527	0.99588	0.99637	0.99676	0.99710	0.99740	0.99762	0.99778	0.99789
batch 13  MS-SSIM: 0.93885	0.97399	0.98417	0.98898	0.99169	0.99346	0.99461	0.99543	0.99602	0.99650	0.99688	0.99721	0.99749	0.99770	0.99785	0.99796
batch 14  MS-SSIM: 0.94128	0.97522	0.98497	0.98955	0.99213	0.99381	0.99490	0.99568	0.99623	0.99669	0.99705	0.99736	0.99763	0.99783	0.99797	0.99807
batch 15  MS-SSIM: 0.94209	0.97574	0.98534	0.98984	0.99235	0.99399	0.99504	0.99580	0.99634	0.99678	0.99713	0.99743	0.99770	0.99789	0.99803	0.99813
batch 16  MS-SSIM: 0.94382	0.97666	0.98595	0.99027	0.99269	0.99425	0.99527	0.99599	0.99651	0.99693	0.99726	0.99755	0.99781	0.99798	0.99812	0.99821
batch 17  MS-SSIM: 0.94185	0.97579	0.98552	0.98999	0.99247	0.99408	0.99513	0.99588	0.99642	0.99685	0.99720	0.99749	0.99775	0.99793	0.99807	0.99817
batch 18  MS-SSIM: 0.94033	0.97496	0.98500	0.98962	0.99220	0.99388	0.99497	0.99574	0.99630	0.99675	0.99711	0.99741	0.99768	0.99788	0.99802	0.99812
batch 19  MS-SSIM: 0.93799	0.97378	0.98436	0.98922	0.99193	0.99369	0.99483	0.99564	0.99621	0.99667	0.99704	0.99736	0.99764	0.99784	0.99798	0.99809
batch 20  MS-SSIM: 0.93882	0.97423	0.98468	0.98945	0.99210	0.99383	0.99494	0.99573	0.99629	0.99674	0.99710	0.99741	0.99769	0.99788	0.99802	0.99812
batch 21  MS-SSIM: 0.93656	0.97273	0.98353	0.98853	0.99134	0.99319	0.99439	0.99524	0.99584	0.99634	0.99674	0.99708	0.99739	0.99760	0.99776	0.99787
batch 22  MS-SSIM: 0.93470	0.97179	0.98305	0.98824	0.99116	0.99307	0.99430	0.99518	0.99579	0.99629	0.99670	0.99705	0.99736	0.99758	0.99774	0.99785
batch 23  MS-SSIM: 0.93270	0.97044	0.98201	0.98741	0.99046	0.99248	0.99380	0.99473	0.99538	0.99592	0.99636	0.99674	0.99708	0.99731	0.99749	0.99761
batch 24  MS-SSIM: 0.93153	0.96996	0.98178	0.98725	0.99033	0.99237	0.99370	0.99466	0.99531	0.99587	0.99632	0.99670	0.99704	0.99728	0.99746	0.99759
batch 25  MS-SSIM: 0.93072	0.96968	0.98166	0.98716	0.99026	0.99232	0.99366	0.99463	0.99529	0.99585	0.99630	0.99669	0.99703	0.99727	0.99745	0.99757
batch 26  MS-SSIM: 0.92956	0.96919	0.98142	0.98703	0.99020	0.99228	0.99364	0.99461	0.99528	0.99584	0.99630	0.99669	0.99703	0.99727	0.99745	0.99758
batch 27  MS-SSIM: 0.93020	0.96948	0.98157	0.98714	0.99029	0.99236	0.99370	0.99467	0.99533	0.99589	0.99634	0.99673	0.99707	0.99730	0.99748	0.99760
batch 28  MS-SSIM: 0.92917	0.96909	0.98138	0.98700	0.99019	0.99227	0.99363	0.99461	0.99529	0.99585	0.99631	0.99670	0.99704	0.99728	0.99746	0.99758
batch 29  MS-SSIM: 0.92852	0.96881	0.98124	0.98690	0.99011	0.99220	0.99358	0.99457	0.99525	0.99582	0.99628	0.99667	0.99702	0.99726	0.99744	0.99757
batch 30  MS-SSIM: 0.92912	0.96907	0.98136	0.98697	0.99016	0.99225	0.99362	0.99461	0.99528	0.99584	0.99631	0.99669	0.99703	0.99727	0.99745	0.99758
batch 31  MS-SSIM: 0.92985	0.96949	0.98163	0.98718	0.99032	0.99238	0.99372	0.99470	0.99536	0.99591	0.99637	0.99675	0.99708	0.99732	0.99749	0.99762
batch 32  MS-SSIM: 0.93097	0.97012	0.98204	0.98747	0.99055	0.99256	0.99387	0.99482	0.99547	0.99601	0.99646	0.99683	0.99716	0.99738	0.99756	0.99768
batch 33  MS-SSIM: 0.93014	0.96971	0.98181	0.98733	0.99046	0.99250	0.99383	0.99480	0.99545	0.99600	0.99645	0.99682	0.99715	0.99738	0.99755	0.99767
batch 34  MS-SSIM: 0.93062	0.96990	0.98188	0.98737	0.99049	0.99252	0.99385	0.99482	0.99547	0.99601	0.99646	0.99683	0.99716	0.99739	0.99756	0.99768
batch 35  MS-SSIM: 0.92982	0.96959	0.98174	0.98727	0.99041	0.99245	0.99380	0.99477	0.99543	0.99598	0.99643	0.99681	0.99714	0.99737	0.99754	0.99766
batch 36  MS-SSIM: 0.92874	0.96886	0.98116	0.98679	0.99001	0.99212	0.99351	0.99451	0.99519	0.99577	0.99624	0.99663	0.99697	0.99721	0.99740	0.99752
batch 37  MS-SSIM: 0.92832	0.96862	0.98101	0.98670	0.98994	0.99207	0.99347	0.99448	0.99517	0.99574	0.99622	0.99661	0.99696	0.99720	0.99739	0.99752
batch 38  MS-SSIM: 0.92897	0.96898	0.98124	0.98687	0.99008	0.99218	0.99356	0.99456	0.99524	0.99580	0.99627	0.99666	0.99700	0.99724	0.99743	0.99755
batch 39  MS-SSIM: 0.92941	0.96916	0.98132	0.98691	0.99011	0.99220	0.99358	0.99458	0.99525	0.99582	0.99628	0.99667	0.99701	0.99725	0.99743	0.99756
batch 40  MS-SSIM: 0.92885	0.96892	0.98120	0.98683	0.99004	0.99215	0.99353	0.99454	0.99522	0.99579	0.99626	0.99665	0.99699	0.99723	0.99741	0.99754
batch 41  MS-SSIM: 0.92997	0.96948	0.98157	0.98709	0.99024	0.99230	0.99366	0.99465	0.99531	0.99587	0.99633	0.99671	0.99705	0.99729	0.99747	0.99759
batch 42  MS-SSIM: 0.93042	0.96968	0.98167	0.98716	0.99029	0.99235	0.99370	0.99468	0.99534	0.99590	0.99635	0.99673	0.99707	0.99730	0.99748	0.99760
batch 43  MS-SSIM: 0.92999	0.96951	0.98157	0.98708	0.99023	0.99230	0.99366	0.99465	0.99531	0.99587	0.99633	0.99672	0.99705	0.99729	0.99747	0.99759
batch 44  MS-SSIM: 0.93044	0.96978	0.98175	0.98723	0.99034	0.99239	0.99373	0.99471	0.99537	0.99592	0.99638	0.99676	0.99709	0.99732	0.99750	0.99762
batch 45  MS-SSIM: 0.93144	0.97028	0.98207	0.98745	0.99052	0.99252	0.99385	0.99480	0.99545	0.99599	0.99644	0.99681	0.99714	0.99737	0.99754	0.99766
batch 46  MS-SSIM: 0.93104	0.97006	0.98193	0.98736	0.99045	0.99248	0.99381	0.99477	0.99543	0.99597	0.99643	0.99680	0.99713	0.99736	0.99753	0.99765
batch 47  MS-SSIM: 0.93011	0.96945	0.98145	0.98697	0.99012	0.99220	0.99357	0.99456	0.99523	0.99580	0.99626	0.99665	0.99699	0.99723	0.99742	0.99754
batch 48  MS-SSIM: 0.92929	0.96887	0.98101	0.98660	0.98982	0.99194	0.99335	0.99437	0.99505	0.99563	0.99611	0.99652	0.99687	0.99712	0.99731	0.99744
batch 49  MS-SSIM: 0.92847	0.96830	0.98056	0.98624	0.98951	0.99168	0.99313	0.99417	0.99487	0.99547	0.99596	0.99638	0.99674	0.99700	0.99720	0.99733
batch 50  MS-SSIM: 0.92879	0.96845	0.98063	0.98628	0.98955	0.99171	0.99315	0.99419	0.99489	0.99549	0.99598	0.99639	0.99676	0.99701	0.99721	0.99734
batch 51  MS-SSIM: 0.92831	0.96819	0.98048	0.98620	0.98950	0.99169	0.99313	0.99419	0.99489	0.99549	0.99598	0.99639	0.99676	0.99701	0.99721	0.99734
batch 52  MS-SSIM: 0.92800	0.96803	0.98039	0.98614	0.98946	0.99166	0.99311	0.99417	0.99487	0.99547	0.99597	0.99639	0.99675	0.99701	0.99721	0.99734
batch 53  MS-SSIM: 0.92879	0.96846	0.98067	0.98635	0.98962	0.99179	0.99322	0.99426	0.99495	0.99555	0.99603	0.99644	0.99680	0.99706	0.99725	0.99738
batch 54  MS-SSIM: 0.92847	0.96830	0.98058	0.98629	0.98958	0.99176	0.99320	0.99424	0.99494	0.99553	0.99602	0.99644	0.99680	0.99705	0.99725	0.99738
batch 55  MS-SSIM: 0.92924	0.96873	0.98085	0.98649	0.98973	0.99188	0.99330	0.99433	0.99502	0.99560	0.99608	0.99649	0.99685	0.99710	0.99729	0.99742
batch 56  MS-SSIM: 0.92879	0.96852	0.98074	0.98643	0.98970	0.99187	0.99329	0.99432	0.99501	0.99560	0.99608	0.99649	0.99685	0.99710	0.99729	0.99742
batch 57  MS-SSIM: 0.92822	0.96826	0.98060	0.98637	0.98967	0.99185	0.99328	0.99431	0.99500	0.99559	0.99608	0.99649	0.99685	0.99710	0.99729	0.99742
batch 58  MS-SSIM: 0.92861	0.96846	0.98072	0.98646	0.98974	0.99191	0.99333	0.99435	0.99504	0.99563	0.99611	0.99652	0.99687	0.99712	0.99731	0.99744
batch 59  MS-SSIM: 0.92893	0.96859	0.98078	0.98650	0.98977	0.99193	0.99335	0.99437	0.99506	0.99564	0.99612	0.99653	0.99688	0.99713	0.99732	0.99745
batch 60  MS-SSIM: 0.92930	0.96880	0.98093	0.98661	0.98986	0.99200	0.99341	0.99442	0.99510	0.99568	0.99616	0.99656	0.99691	0.99716	0.99734	0.99747
batch 61  MS-SSIM: 0.92960	0.96901	0.98108	0.98672	0.98995	0.99207	0.99347	0.99447	0.99515	0.99572	0.99619	0.99659	0.99694	0.99718	0.99737	0.99749
batch 62  MS-SSIM: 0.92992	0.96919	0.98121	0.98682	0.99003	0.99214	0.99352	0.99452	0.99519	0.99576	0.99623	0.99662	0.99696	0.99721	0.99739	0.99752
batch 63  MS-SSIM: 0.92955	0.96907	0.98117	0.98680	0.99001	0.99213	0.99351	0.99451	0.99518	0.99575	0.99622	0.99662	0.99696	0.99720	0.99739	0.99751
batch 64  MS-SSIM: 0.92925	0.96897	0.98113	0.98677	0.98999	0.99211	0.99350	0.99450	0.99518	0.99575	0.99622	0.99661	0.99696	0.99720	0.99739	0.99751
batch 65  MS-SSIM: 0.92985	0.96929	0.98134	0.98692	0.99011	0.99221	0.99358	0.99457	0.99524	0.99580	0.99627	0.99666	0.99700	0.99724	0.99742	0.99754
batch 66  MS-SSIM: 0.93015	0.96944	0.98141	0.98698	0.99015	0.99224	0.99361	0.99460	0.99526	0.99582	0.99628	0.99667	0.99701	0.99725	0.99743	0.99755
batch 67  MS-SSIM: 0.92989	0.96930	0.98133	0.98692	0.99010	0.99221	0.99359	0.99458	0.99524	0.99581	0.99627	0.99666	0.99700	0.99724	0.99742	0.99755
batch 68  MS-SSIM: 0.92948	0.96913	0.98124	0.98687	0.99008	0.99220	0.99358	0.99457	0.99524	0.99581	0.99627	0.99666	0.99700	0.99724	0.99743	0.99755
batch 69  MS-SSIM: 0.92902	0.96892	0.98113	0.98681	0.99004	0.99217	0.99356	0.99456	0.99523	0.99580	0.99627	0.99666	0.99700	0.99724	0.99743	0.99755
batch 70  MS-SSIM: 0.92960	0.96923	0.98132	0.98695	0.99015	0.99226	0.99363	0.99462	0.99529	0.99585	0.99631	0.99670	0.99704	0.99727	0.99746	0.99758
